,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,activation_state,fishing_net,behaviour,group_size,category_remap
2029.json,1.13792810979278,0.009895027041676,126,99.0121307118861,2022-07-17 18:11:10.187086689,2022-07-17 18:11:11.325014799,19.6787796554032,24.0070028771887,-58.21125,-53.823776,DUR,Absent,Travelling,10,32
2110.json,1.12122439518838,0.009835301712179,127,99.4528864598277,2022-07-17 18:43:00.683762436,2022-07-17 18:43:01.804986831,27.1561727926765,31.0609094592887,-45.90999,-41.95147,DUR,Absent,Travelling,10,9
2164.json,1.16000874806549,0.009830582610725,137,99.1959131153317,2022-07-17 17:50:43.197344877,2022-07-17 17:50:44.357353625,31.8956131085958,36.182701581145,-50.34305,-46.02824,DUR,Absent,Foraging,8,17
2256.json,1.41588480778972,0.009901292362166,139,98.2277606968307,2022-07-17 17:27:22.289900842,2022-07-17 17:27:23.705785650,30.1408346797643,34.7529634732879,-48.54954,-43.942013,DUR+AFT,Absent,Attraction,5,92
2257.json,1.62004285144137,0.009878310069764,130,98.7143862813246,2022-07-17 17:27:17.720414683,2022-07-17 17:27:19.340457535,39.7640697815839,44.8522139998043,-38.180202,-33.092056,DUR+AFT,Absent,Attraction,5,18
2259.json,1.26066616393576,0.009848954405748,132,98.7385161022292,2022-07-17 17:27:48.516561091,2022-07-17 17:27:49.777227255,26.5217053395397,29.6260085195865,-46.220776,-43.094795,DUR+AFT,Absent,Attraction,5,45
2269.json,1.43778289287003,0.009915744088759,130,99.105339855138,2022-07-17 17:27:38.786660555,2022-07-17 17:27:40.224443448,25.6947022748916,30.1103596766351,-52.702785,-48.26187,DUR+AFT,Absent,Attraction,5,18
2271.json,1.35037589759499,0.009856758376606,132,99.5680268518058,2022-07-17 17:27:15.002849684,2022-07-17 17:27:16.353225582,37.2682149537216,40.4827051670594,-41.631786,-38.505074,DUR+AFT,Absent,Attraction,5,45
2279.json,1.02981038762935,0.009902022957974,134,97.4158597847692,2022-07-17 17:27:37.036795149,2022-07-17 17:27:38.066605537,21.4879980527438,26.3753322014442,-54.146385,-49.34457,DUR+AFT,Absent,Attraction,5,106
2281.json,1.07071967323682,0.009823116268228,128,99.6525011111169,2022-07-17 17:27:24.351156614,2022-07-17 17:27:25.421876287,22.7650084884078,27.6157132749204,-54.25935,-49.49239,DUR+AFT,Absent,Attraction,5,23
2284.json,1.39704856241153,0.009908145832706,139,99.1194689398937,2022-07-17 17:27:25.534662769,2022-07-17 17:27:26.931711332,26.6450928558003,29.9156335809014,-46.299744,-43.003994,DUR+AFT,Absent,Attraction,5,92
2285.json,1.00368558761192,0.009840054780509,131,99.5264551254128,2022-07-17 17:27:39.585136507,2022-07-17 17:27:40.588822095,19.0199588593983,21.5267790234278,-57.219837,-54.78458,DUR+AFT,Absent,Attraction,5,37
2287.json,1.29061717767214,0.009852039524215,131,99.0098856853797,2022-07-17 17:27:37.316467476,2022-07-17 17:27:38.607084653,19.2160657636958,21.1004482105466,-59.268574,-57.34183,DUR+AFT,Absent,Attraction,5,37
2290.json,1.42241013724098,0.009877848175285,130,99.4609956804129,2022-07-17 17:27:43.491667259,2022-07-17 17:27:44.914077397,27.35433280135,30.4395659888923,-50.76068,-47.67545,DUR+AFT,Absent,Attraction,5,18
2291.json,1.05462674263944,0.009856324697565,131,99.1789066860819,2022-07-17 17:27:43.802868593,2022-07-17 17:27:44.857495336,14.6286344026264,17.6051269187067,-62.806015,-59.771652,DUR+AFT,Absent,Attraction,5,37
