,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file
4125.json,2022-07-18 19:48:27.773217881,2022-07-18 19:48:28.141245556,DUR,Absent,Foraging,10.0,2022-07-18 19:48:00,2022-07-18_19:28,2022-07-18_19:48
8308.json,2020-07-13 07:19:55.904546061,2020-07-13 07:19:56.040527930,Control,Present,Travelling,10.0,2020-07-13 07:19:00,2020-07-13_07:18,2020-07-13_07:19
7937.json,2020-07-13 06:43:35.883702561,2020-07-13 06:43:37.332233116,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:43:00,2020-07-13_06:37,2020-07-13_06:43
559.json,2020-07-11 11:43:31.162448923,2020-07-11 11:43:32.341003289,DUR,Present,Travelling,35.0,2020-07-11 11:43:00,2020-07-11_11:40,2020-07-11_11:43
4376.json,2022-07-18 19:49:07.076264224,2022-07-18 19:49:08.088530353,DUR,Absent,Foraging,10.0,2022-07-18 19:49:00,2022-07-18_19:28,2022-07-18_19:49
3486.json,2022-07-18 19:16:43.790257782,2022-07-18 19:16:43.953804910,DUR,Absent,Foraging,4.0,2022-07-18 19:16:00,2022-07-18_19:03,2022-07-18_19:16
11162.json,2020-07-16 10:07:59.120723735,2020-07-16 10:07:59.608053406,DUR,Present,Travelling,8.0,2020-07-16 10:07:00,2020-07-16_10:06,2020-07-16_10:07
4755.json,2022-07-18 16:48:32.329295963,2022-07-18 16:48:32.491706778,Control,Absent,Foraging,6.0,2022-07-18 16:48:00,2022-07-18_16:37,2022-07-18_16:48
6630.json,2020-07-12 13:58:56.216504466,2020-07-12 13:58:57.348400858,Control,Present,Attraction,2.0,2020-07-12 13:58:00,2020-07-12_13:42,2020-07-12_13:58
6837.json,2020-07-12 13:56:15.685908546,2020-07-12 13:56:16.285828556,Control,Present,Travelling,3.0,2020-07-12 13:56:00,2020-07-12_13:42,2020-07-12_13:56
11202.json,2020-07-16 10:08:27.537098293,2020-07-16 10:08:28.490346532,DUR,Present,Foraging,8.0,2020-07-16 10:08:00,2020-07-16_10:06,2020-07-16_10:08
7964.json,2020-07-13 07:33:50.006834155,2020-07-13 07:33:50.736286406,Control,Present,Attraction,8.0,2020-07-13 07:33:00,2020-07-13_07:32,2020-07-13_07:33
11479.json,2020-07-16 08:26:47.136759503,2020-07-16 08:26:47.633263644,DUR,Absent,Foraging,40.0,2020-07-16 08:26:00,2020-07-16_08:23,2020-07-16_08:26
7544.json,2020-07-13 06:46:55.390603488,2020-07-13 06:46:55.761968330,Control,Present,Attraction,12.0,2020-07-13 06:46:00,2020-07-13_06:37,2020-07-13_06:46
9989.json,2020-07-16 09:57:11.437634658,2020-07-16 09:57:12.110310419,DUR,Present,Travelling,7.0,2020-07-16 09:57:00,2020-07-16_09:51,2020-07-16_09:57
12990.json,2021-07-09 11:25:08.660565439,2021-07-09 11:25:08.922108564,Control,Present,,,2021-07-09 11:25:00,2021-07-09_11:09,2021-07-09_11:25
13197.json,2021-07-09 12:11:21.127019208,2021-07-09 12:11:21.925599754,DUR,Absent,Foraging,12.0,2021-07-09 12:11:00,2021-07-09_12:08,2021-07-09_12:11
5528.json,2020-07-12 14:05:28.863109767,2020-07-12 14:05:30.038772433,Control,Present,Travelling,6.0,2020-07-12 14:05:00,2020-07-12_13:42,2020-07-12_14:05
3762.json,2022-07-18 19:17:15.054735839,2022-07-18 19:17:16.165870278,DUR,Absent,Foraging,4.0,2022-07-18 19:17:00,2022-07-18_19:03,2022-07-18_19:17
105.json,2020-07-11 09:04:51.881303904,2020-07-11 09:04:52.379840992,DUR,Absent,Socialising,8.0,2020-07-11 09:04:00,2020-07-11_08:36,2020-07-11_09:04
1533.json,2022-07-17 17:33:24.517707944,2022-07-17 17:33:24.705106919,DUR,Absent,Foraging,5.0,2022-07-17 17:33:00,2022-07-17_17:21,2022-07-17_17:33
8744.json,2020-07-13 08:19:49.209438742,2020-07-13 08:19:49.617384349,Control,Absent,Socialising,6.0,2020-07-13 08:19:00,2020-07-13_08:17,2020-07-13_08:19
5215.json,2022-07-18 19:08:27.573265368,2022-07-18 19:08:28.177465885,DUR,Absent,Foraging,4.0,2022-07-18 19:08:00,2022-07-18_19:03,2022-07-18_19:08
1994.json,2022-07-17 17:51:00.010648527,2022-07-17 17:51:00.303959472,DUR+AFT,Absent,Foraging,8.0,2022-07-17 17:51:00,2022-07-17_17:21,2022-07-17_17:51
2379.json,2022-07-17 17:25:24.037058902,2022-07-17 17:25:24.709902124,DUR,Absent,Attraction,5.0,2022-07-17 17:25:00,2022-07-17_17:21,2022-07-17_17:25
10459.json,2020-07-16 10:10:09.467627028,2020-07-16 10:10:10.449681310,DUR,Present,Foraging,8.0,2020-07-16 10:10:00,2020-07-16_10:06,2020-07-16_10:10
9669.json,2020-07-17 08:13:07.027183516,2020-07-17 08:13:07.588335736,DUR+AFT,Present,Attraction,20.0,2020-07-17 08:13:00,2020-07-17_08:08,2020-07-17_08:13
