,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file
7750.json,2020-07-13 11:49:52.337021730,2020-07-13 11:49:52.680975870,BEF+DUR,Absent,Travelling,12.0,2020-07-13 11:49:00,2020-07-13_11:41,2020-07-13_11:49
7668.json,2020-07-13 06:42:51.793591300,2020-07-13 06:42:51.919966337,BEF+DUR,Present,Attraction,10.0,2020-07-13 06:42:00,2020-07-13_06:37,2020-07-13_06:42
9269.json,2020-07-17 09:00:44.466071191,2020-07-17 09:00:44.634048793,DUR,Present,Attraction,5.0,2020-07-17 09:00:00,2020-07-17_08:57,2020-07-17_09:00
11739.json,2020-07-16 08:35:33.654461828,2020-07-16 08:35:34.297993444,DUR,Absent,Foraging,6.0,2020-07-16 08:35:00,2020-07-16_08:23,2020-07-16_08:35
11907.json,2020-07-16 08:59:55.789280902,2020-07-16 08:59:56.490606281,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59
2576.json,2022-07-17 17:49:40.754566058,2022-07-17 17:49:41.052380707,DUR,Absent,Foraging,8.0,2022-07-17 17:49:00,2022-07-17_17:21,2022-07-17_17:49
1220.json,2020-07-11 11:57:45.955057109,2020-07-11 11:57:46.422325389,DUR,Present,Travelling,6.0,2020-07-11 11:57:00,2020-07-11_11:40,2020-07-11_11:57
1678.json,2022-07-17 17:29:32.305467328,2022-07-17 17:29:33.047509066,AFT,Absent,Attraction,5.0,2022-07-17 17:29:00,2022-07-17_17:21,2022-07-17_17:29
2367.json,2022-07-17 17:25:05.987823557,2022-07-17 17:25:06.598800160,DUR,Absent,Attraction,5.0,2022-07-17 17:25:00,2022-07-17_17:21,2022-07-17_17:25
12096.json,2020-07-16 10:09:11.562811543,2020-07-16 10:09:12.697638617,DUR,Present,Foraging,8.0,2020-07-16 10:09:00,2020-07-16_10:06,2020-07-16_10:09
10166.json,2020-07-16 09:39:15.049862892,2020-07-16 09:39:15.185813448,Control,Present,Attraction,5.0,2020-07-16 09:39:00,2020-07-16_09:30,2020-07-16_09:39
8896.json,2020-07-13 07:39:30.934098997,2020-07-13 07:39:31.168917171,Control,Present,Attraction,8.0,2020-07-13 07:39:00,2020-07-13_07:32,2020-07-13_07:39
11924.json,2020-07-16 08:59:27.069100428,2020-07-16 08:59:27.262998403,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59
5561.json,2020-07-12 14:05:45.359904213,2020-07-12 14:05:46.217837622,Control,Present,Travelling,6.0,2020-07-12 14:05:00,2020-07-12_13:42,2020-07-12_14:05
2829.json,2020-07-18 08:11:44.570057326,2020-07-18 08:11:45.038503880,DUR,Present,Travelling,1.0,2020-07-18 08:11:00,2020-07-18_07:53,2020-07-18_08:11
2321.json,2022-07-17 17:40:08.259565930,2022-07-17 17:40:09.367909186,DUR,Absent,Attraction,8.0,2022-07-17 17:40:00,2022-07-17_17:21,2022-07-17_17:40
13763.json,2022-07-21 07:37:48.480067561,2022-07-21 07:37:49.117234327,DUR,Absent,Travelling,5.0,2022-07-21 07:37:00,2022-07-21_07:35,2022-07-21_07:37
1351.json,2020-07-11 11:50:49.231461656,2020-07-11 11:50:51.165452135,DUR,Present,Foraging,8.0,2020-07-11 11:50:00,2020-07-11_11:40,2020-07-11_11:50
13297.json,2021-07-09 11:12:18.005599253,2021-07-09 11:12:18.381549127,Control,Present,,,2021-07-09 11:12:00,2021-07-09_11:09,2021-07-09_11:12
1543.json,2022-07-17 17:33:28.352325164,2022-07-17 17:33:28.798594299,DUR,Absent,Foraging,5.0,2022-07-17 17:33:00,2022-07-17_17:21,2022-07-17_17:33
5234.json,2022-07-18 19:08:03.505049741,2022-07-18 19:08:03.801066204,DUR,Absent,Foraging,4.0,2022-07-18 19:08:00,2022-07-18_19:03,2022-07-18_19:08
3990.json,2022-07-18 18:32:29.035755134,2022-07-18 18:32:29.728663788,AFT,Absent,Foraging,7.0,2022-07-18 18:32:00,2022-07-18_18:23,2022-07-18_18:32
21.json,2020-07-11 09:36:20.463898313,2020-07-11 09:36:20.606253457,DUR,Present,Travelling,8.0,2020-07-11 09:36:00,2020-07-11_09:33,2020-07-11_09:36
11764.json,2020-07-16 09:04:43.862982480,2020-07-16 09:04:44.358242687,DUR,Present,Travelling,5.0,2020-07-16 09:04:00,2020-07-16_08:58,2020-07-16_09:04
2158.json,2022-07-17 18:44:03.016025339,2022-07-17 18:44:03.862416701,DUR,Absent,Travelling,10.0,2022-07-17 18:44:00,2022-07-17_18:41,2022-07-17_18:44
11149.json,2020-07-16 10:07:28.923523429,2020-07-16 10:07:29.261196368,DUR,Present,Travelling,8.0,2020-07-16 10:07:00,2020-07-16_10:06,2020-07-16_10:07
8679.json,2020-07-13 07:40:57.912278363,2020-07-13 07:40:58.264231436,Control,Present,Attraction,8.0,2020-07-13 07:40:00,2020-07-13_07:32,2020-07-13_07:40
8992.json,2020-07-13 07:20:12.134382082,2020-07-13 07:20:12.454339421,Control,Present,Travelling,10.0,2020-07-13 07:20:00,2020-07-13_07:18,2020-07-13_07:20
11097.json,2020-07-16 10:07:27.168647391,2020-07-16 10:07:27.470506534,DUR,Present,Travelling,8.0,2020-07-16 10:07:00,2020-07-16_10:06,2020-07-16_10:07
10845.json,2020-07-16 09:00:57.658711561,2020-07-16 09:00:58.656769913,DUR,Present,Travelling,6.0,2020-07-16 09:00:00,2020-07-16_08:58,2020-07-16_09:00
2959.json,2020-07-18 08:59:00.204750196,2020-07-18 08:59:00.572926442,DUR,Present,Travelling,20.0,2020-07-18 08:59:00,2020-07-18_08:57,2020-07-18_08:59
8996.json,2020-07-13 07:20:38.861092981,2020-07-13 07:20:39.052129805,Control,Present,Travelling,10.0,2020-07-13 07:20:00,2020-07-13_07:18,2020-07-13_07:20
10058.json,2020-07-16 09:02:11.102519664,2020-07-16 09:02:11.358485535,DUR,Present,Travelling,6.0,2020-07-16 09:02:00,2020-07-16_08:58,2020-07-16_09:02
6535.json,2020-07-12 14:00:46.905673462,2020-07-12 14:00:47.037636495,Control,Present,Attraction,2.0,2020-07-12 14:00:00,2020-07-12_13:42,2020-07-12_14:00
13373.json,2021-07-09 11:26:01.179287520,2021-07-09 11:26:01.459250979,Control,Present,,,2021-07-09 11:26:00,2021-07-09_11:09,2021-07-09_11:26
1652.json,2022-07-17 17:52:00.303959472,2022-07-17 17:52:00.607918944,AFT,Absent,Foraging,8.0,2022-07-17 17:52:00,2022-07-17_17:21,2022-07-17_17:52
4479.json,2022-07-18 19:07:38.031843277,2022-07-18 19:07:38.494018315,DUR,Absent,Foraging,4.0,2022-07-18 19:07:00,2022-07-18_19:03,2022-07-18_19:07
11313.json,2020-07-16 10:08:30.211971737,2020-07-16 10:08:31.306996844,DUR,Present,Foraging,8.0,2020-07-16 10:08:00,2020-07-16_10:06,2020-07-16_10:08
322.json,2020-07-11 09:38:25.980535929,2020-07-11 09:38:26.348486868,DUR,Present,Attraction,5.0,2020-07-11 09:38:00,2020-07-11_09:33,2020-07-11_09:38
3485.json,2022-07-18 19:16:57.462127473,2022-07-18 19:16:57.864284762,DUR,Absent,Foraging,4.0,2022-07-18 19:16:00,2022-07-18_19:03,2022-07-18_19:16
4919.json,2022-07-18 18:53:50.497728693,2022-07-18 18:53:51.620319284,DUR,Absent,Foraging,5.0,2022-07-18 18:53:00,2022-07-18_18:23,2022-07-18_18:53
3903.json,2022-07-18 17:38:11.789979901,2022-07-18 17:38:12.338347164,DUR,Absent,Foraging,10.0,2022-07-18 17:38:00,2022-07-18_17:37,2022-07-18_17:38
8073.json,2020-07-13 06:45:17.048874504,2020-07-13 06:45:17.281444269,Control,Present,Attraction,12.0,2020-07-13 06:45:00,2020-07-13_06:37,2020-07-13_06:45
5456.json,2020-07-12 14:26:11.166511132,2020-07-12 14:26:11.750433276,Control,Present,Travelling,5.0,2020-07-12 14:26:00,2020-07-12_14:25,2020-07-12_14:26
11080.json,2020-07-16 10:07:12.879042794,2020-07-16 10:07:13.475700322,DUR,Present,Travelling,8.0,2020-07-16 10:07:00,2020-07-16_10:06,2020-07-16_10:07
3687.json,2022-07-18 19:09:19.950451565,2022-07-18 19:09:20.663594583,DUR,Absent,Foraging,4.0,2022-07-18 19:09:00,2022-07-18_19:03,2022-07-18_19:09
6133.json,2020-07-12 13:45:22.642042330,2020-07-12 13:45:23.369282262,DUR,Present,Attraction,8.0,2020-07-12 13:45:00,2020-07-12_13:42,2020-07-12_13:45
8500.json,2020-07-13 06:38:43.985008778,2020-07-13 06:38:44.414734092,BEF+DUR,Absent,Attraction,10.0,2020-07-13 06:38:00,2020-07-13_06:37,2020-07-13_06:38
10112.json,2020-07-16 09:02:01.798077553,2020-07-16 09:02:02.230069546,DUR,Present,Travelling,6.0,2020-07-16 09:02:00,2020-07-16_08:58,2020-07-16_09:02
1249.json,2020-07-11 11:57:14.302093054,2020-07-11 11:57:14.526063191,DUR,Present,Travelling,6.0,2020-07-11 11:57:00,2020-07-11_11:40,2020-07-11_11:57
306.json,2020-07-11 09:35:55.519720673,2020-07-11 09:35:55.663291357,DUR,Present,Travelling,8.0,2020-07-11 09:35:00,2020-07-11_09:33,2020-07-11_09:35
11440.json,2020-07-16 08:26:19.582335457,2020-07-16 08:26:20.403984074,DUR,Absent,Foraging,40.0,2020-07-16 08:26:00,2020-07-16_08:23,2020-07-16_08:26
13358.json,2021-07-09 11:11:50.418593263,2021-07-09 11:11:50.680864235,Control,Present,,,2021-07-09 11:11:00,2021-07-09_11:09,2021-07-09_11:11
10529.json,2020-07-16 09:03:53.322160433,2020-07-16 09:03:54.461600265,DUR,Present,Travelling,6.0,2020-07-16 09:03:00,2020-07-16_08:58,2020-07-16_09:03
9861.json,2020-07-16 10:11:16.319879076,2020-07-16 10:11:17.782161314,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
3699.json,2022-07-18 19:09:17.116205277,2022-07-18 19:09:17.284729523,DUR,Absent,Foraging,4.0,2022-07-18 19:09:00,2022-07-18_19:03,2022-07-18_19:09
10132.json,2020-07-16 09:02:42.719966481,2020-07-16 09:02:42.860395012,DUR,Present,Travelling,6.0,2020-07-16 09:02:00,2020-07-16_08:58,2020-07-16_09:02
5743.json,2020-07-12 09:43:16.029862685,2020-07-12 09:43:16.365817891,Control,Present,Attraction,15.0,2020-07-12 09:43:00,2020-07-12_09:39,2020-07-12_09:43
6003.json,2020-07-12 14:02:17.205705906,2020-07-12 14:02:18.233312902,Control,Present,Attraction,2.0,2020-07-12 14:02:00,2020-07-12_13:42,2020-07-12_14:02
13251.json,2021-07-09 11:12:38.106919077,2021-07-09 11:12:38.282895614,Control,Present,,,2021-07-09 11:12:00,2021-07-09_11:09,2021-07-09_11:12
6887.json,2020-07-12 14:08:04.151446474,2020-07-12 14:08:04.543394214,Control,Present,Attraction,6.0,2020-07-12 14:08:00,2020-07-12_13:42,2020-07-12_14:08
10527.json,2020-07-16 09:03:50.905964927,2020-07-16 09:03:52.033062257,DUR,Present,Travelling,6.0,2020-07-16 09:03:00,2020-07-16_08:58,2020-07-16_09:03
6623.json,2020-07-12 13:58:16.483937375,2020-07-12 13:58:18.176932889,Control,Present,Attraction,2.0,2020-07-12 13:58:00,2020-07-12_13:42,2020-07-12_13:58
3927.json,2022-07-18 16:49:30.158955936,2022-07-18 16:49:30.811891748,Control,Absent,Foraging,6.0,2022-07-18 16:49:00,2022-07-18_16:37,2022-07-18_16:49
3455.json,2022-07-18 19:16:14.781712121,2022-07-18 19:16:15.515176297,DUR,Absent,Foraging,4.0,2022-07-18 19:16:00,2022-07-18_19:03,2022-07-18_19:16
8751.json,2020-07-13 08:19:50.243235138,2020-07-13 08:19:50.513815350,Control,Absent,Socialising,6.0,2020-07-13 08:19:00,2020-07-13_08:17,2020-07-13_08:19
11587.json,2020-07-16 08:25:52.577171250,2020-07-16 08:25:53.116906893,DUR,Absent,Foraging,40.0,2020-07-16 08:25:00,2020-07-16_08:23,2020-07-16_08:25
1276.json,2020-07-11 11:57:48.437476285,2020-07-11 11:57:49.213820533,DUR,Present,Travelling,6.0,2020-07-11 11:57:00,2020-07-11_11:40,2020-07-11_11:57
9911.json,2020-07-16 10:11:29.577698709,2020-07-16 10:11:29.912003553,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
7673.json,2020-07-13 06:42:20.741234502,2020-07-13 06:42:21.245167311,BEF+DUR,Present,Attraction,10.0,2020-07-13 06:42:00,2020-07-13_06:37,2020-07-13_06:42
10534.json,2020-07-16 09:03:21.256447705,2020-07-16 09:03:21.441604080,DUR,Present,Travelling,6.0,2020-07-16 09:03:00,2020-07-16_08:58,2020-07-16_09:03
9940.json,2020-07-16 09:05:59.360085322,2020-07-16 09:05:59.704039461,DUR,Present,Travelling,5.0,2020-07-16 09:05:00,2020-07-16_08:58,2020-07-16_09:05
8236.json,2020-07-13 07:22:59.829550555,2020-07-13 07:22:59.988048272,Control,Present,Travelling,10.0,2020-07-13 07:22:00,2020-07-13_07:18,2020-07-13_07:22
4170.json,2022-07-18 19:18:47.930124484,2022-07-18 19:18:49.040750445,DUR+AFT,Absent,Foraging,4.0,2022-07-18 19:18:00,2022-07-18_19:03,2022-07-18_19:18
6707.json,2020-07-12 09:42:48.161578456,2020-07-12 09:42:49.377416344,Control,Present,Attraction,15.0,2020-07-12 09:42:00,2020-07-12_09:39,2020-07-12_09:42
9806.json,2020-07-16 06:56:14.358085589,2020-07-16 06:56:14.590054659,BEF+DUR,Absent,Travelling,6.0,2020-07-16 06:56:00,2020-07-16_06:55,2020-07-16_06:56
2771.json,2020-07-18 08:07:56.527570563,2020-07-18 08:07:57.132218552,BEF+DUR,Present,Travelling,3.0,2020-07-18 08:07:00,2020-07-18_07:53,2020-07-18_08:07
12699.json,2020-07-16 09:59:36.196368725,2020-07-16 09:59:36.815200955,DUR,Present,Travelling,7.0,2020-07-16 09:59:00,2020-07-16_09:51,2020-07-16_09:59
9114.json,2020-07-17 09:06:30.208510895,2020-07-17 09:06:31.095047377,AFT,Present,Attraction,4.0,2020-07-17 09:06:00,2020-07-17_08:57,2020-07-17_09:06
339.json,2020-07-11 09:38:30.743181341,2020-07-11 09:38:30.860171215,DUR,Present,Attraction,5.0,2020-07-11 09:38:00,2020-07-11_09:33,2020-07-11_09:38
8063.json,2020-07-13 06:45:32.773103243,2020-07-13 06:45:32.980430938,Control,Present,Attraction,12.0,2020-07-13 06:45:00,2020-07-13_06:37,2020-07-13_06:45
9679.json,2020-07-17 08:13:35.627249700,2020-07-17 08:13:36.003199573,DUR+AFT,Present,Attraction,20.0,2020-07-17 08:13:00,2020-07-17_08:08,2020-07-17_08:13
12762.json,2020-07-16 09:59:35.149931392,2020-07-16 09:59:35.564256834,DUR,Present,Travelling,7.0,2020-07-16 09:59:00,2020-07-16_09:51,2020-07-16_09:59
3733.json,2022-07-18 19:17:04.637002392,2022-07-18 19:17:04.775728296,DUR,Absent,Foraging,4.0,2022-07-18 19:17:00,2022-07-18_19:03,2022-07-18_19:17
12543.json,2020-07-16 09:01:26.029709216,2020-07-16 09:01:26.783431579,DUR,Present,Travelling,6.0,2020-07-16 09:01:00,2020-07-16_08:58,2020-07-16_09:01
702.json,2020-07-11 09:02:58.661732873,2020-07-11 09:02:58.837854875,DUR,Absent,Socialising,8.0,2020-07-11 09:02:00,2020-07-11_08:36,2020-07-11_09:02
10197.json,2020-07-16 09:39:42.804513004,2020-07-16 09:39:42.923146746,Control,Present,Attraction,5.0,2020-07-16 09:39:00,2020-07-16_09:30,2020-07-16_09:39
11342.json,2020-07-16 10:24:04.381174407,2020-07-16 10:24:05.642905387,DUR,Present,Attraction,3.0,2020-07-16 10:24:00,2020-07-16_10:21,2020-07-16_10:24
3135.json,2020-07-18 08:58:33.070574269,2020-07-18 08:58:33.386622526,BEF+DUR,Present,Travelling,20.0,2020-07-18 08:58:00,2020-07-18_08:57,2020-07-18_08:58
4418.json,2022-07-18 16:46:59.108523749,2022-07-18 16:46:59.479233889,Control,Absent,Foraging,6.0,2022-07-18 16:46:00,2022-07-18_16:37,2022-07-18_16:46
6239.json,2020-07-12 13:57:11.752351660,2020-07-12 13:57:11.881431647,Control,Present,Travelling,3.0,2020-07-12 13:57:00,2020-07-12_13:42,2020-07-12_13:57
5296.json,2022-07-18 19:12:39.528525393,2022-07-18 19:12:39.726353984,DUR,Absent,Foraging,4.0,2022-07-18 19:12:00,2022-07-18_19:03,2022-07-18_19:12
6757.json,2020-07-12 13:56:40.276427815,2020-07-12 13:56:40.479255887,Control,Present,Travelling,3.0,2020-07-12 13:56:00,2020-07-12_13:42,2020-07-12_13:56
8198.json,2020-07-13 09:15:01.999733369,2020-07-13 09:15:02.527662977,Control,Absent,Socialising,5.0,2020-07-13 09:15:00,2020-07-13_09:12,2020-07-13_09:15
385.json,2020-07-11 11:58:12.058367282,2020-07-11 11:58:12.648715635,DUR,Present,Travelling,6.0,2020-07-11 11:58:00,2020-07-11_11:40,2020-07-11_11:58
12037.json,2020-07-16 09:33:31.355819224,2020-07-16 09:33:31.627782962,Control,Present,Attraction,5.0,2020-07-16 09:33:00,2020-07-16_09:30,2020-07-16_09:33
7906.json,2020-07-13 06:43:12.408394998,2020-07-13 06:43:12.578081034,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:43:00,2020-07-13_06:37,2020-07-13_06:43
7290.json,2020-07-12 14:03:35.541891122,2020-07-12 14:03:35.987201706,Control,Present,Attraction,2.0,2020-07-12 14:03:00,2020-07-12_13:42,2020-07-12_14:03
2177.json,2022-07-17 17:50:27.996267164,2022-07-17 17:50:28.100253300,DUR,Absent,Foraging,8.0,2022-07-17 17:50:00,2022-07-17_17:21,2022-07-17_17:50
11971.json,2020-07-16 08:59:19.242672375,2020-07-16 08:59:20.794000983,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59
7639.json,2020-07-13 11:51:03.663511532,2020-07-13 11:51:04.367151047,DUR,Absent,Travelling,12.0,2020-07-13 11:51:00,2020-07-13_11:41,2020-07-13_11:51
4371.json,2022-07-18 19:49:30.823437474,2022-07-18 19:49:31.072083110,DUR,Absent,Foraging,10.0,2022-07-18 19:49:00,2022-07-18_19:28,2022-07-18_19:49
3297.json,2022-07-18 19:42:14.953660779,2022-07-18 19:42:15.064062989,DUR,Absent,Travelling,6.0,2022-07-18 19:42:00,2022-07-18_19:28,2022-07-18_19:42
2923.json,2020-07-18 08:59:10.700333644,2020-07-18 08:59:10.894586192,DUR,Present,Travelling,20.0,2020-07-18 08:59:00,2020-07-18_08:57,2020-07-18_08:59
111.json,2020-07-11 09:04:52.089054793,2020-07-11 09:04:52.575213635,DUR,Absent,Socialising,8.0,2020-07-11 09:04:00,2020-07-11_08:36,2020-07-11_09:04
11461.json,2020-07-16 08:26:10.604967428,2020-07-16 08:26:11.781220094,DUR,Absent,Foraging,40.0,2020-07-16 08:26:00,2020-07-16_08:23,2020-07-16_08:26
8179.json,2020-07-13 09:47:55.796452888,2020-07-13 09:47:55.963980090,Control,Absent,Socialising,4.0,2020-07-13 09:47:00,2020-07-13_09:43,2020-07-13_09:47
6452.json,2020-07-12 09:41:21.445140648,2020-07-12 09:41:22.021063858,Control,Present,Attraction,15.0,2020-07-12 09:41:00,2020-07-12_09:39,2020-07-12_09:41
3662.json,2022-07-18 19:09:32.602298707,2022-07-18 19:09:33.081524384,DUR,Absent,Foraging,4.0,2022-07-18 19:09:00,2022-07-18_19:03,2022-07-18_19:09
4567.json,2022-07-18 19:41:50.053863909,2022-07-18 19:41:50.377853684,DUR,Absent,Travelling,6.0,2022-07-18 19:41:00,2022-07-18_19:28,2022-07-18_19:41
13442.json,2021-07-09 11:14:02.204128104,2021-07-09 11:14:02.664601313,Control,Present,,,2021-07-09 11:14:00,2021-07-09_11:09,2021-07-09_11:14
7401.json,2020-07-14 06:43:22.764964671,2020-07-14 06:43:23.140914545,Control,Absent,Travelling,5.0,2020-07-14 06:43:00,2020-07-14_06:42,2020-07-14_06:43
8374.json,2020-07-13 06:44:13.405042200,2020-07-13 06:44:14.673531330,Control,Present,Attraction,10.0,2020-07-13 06:44:00,2020-07-13_06:37,2020-07-13_06:44
10896.json,2020-07-16 09:58:21.493134249,2020-07-16 09:58:22.369088264,DUR,Present,Travelling,7.0,2020-07-16 09:58:00,2020-07-16_09:51,2020-07-16_09:58
9795.json,2020-07-17 08:16:01.766821991,2020-07-17 08:16:02.134323038,AFT,Present,Attraction,7.0,2020-07-17 08:16:00,2020-07-17_08:08,2020-07-17_08:16
13194.json,2021-07-09 11:30:41.871419582,2021-07-09 11:30:42.451721360,Control,Present,,,2021-07-09 11:30:00,2021-07-09_11:09,2021-07-09_11:30
4801.json,2022-07-18 17:50:15.710903719,2022-07-18 17:50:16.711153585,BEF,Absent,Attraction,12.0,2022-07-18 17:50:00,2022-07-18_17:37,2022-07-18_17:50
13500.json,2021-07-09 10:42:40.762817533,2021-07-09 10:42:40.885747740,Control,Present,Foraging,15.0,2021-07-09 10:42:00,2021-07-09_10:41,2021-07-09_10:42
8426.json,2020-07-13 06:38:53.087281361,2020-07-13 06:38:53.260762106,BEF+DUR,Absent,Attraction,10.0,2020-07-13 06:38:00,2020-07-13_06:37,2020-07-13_06:38
9531.json,2020-07-17 08:17:13.534195441,2020-07-17 08:17:14.909874086,AFT,Present,Attraction,7.0,2020-07-17 08:17:00,2020-07-17_08:08,2020-07-17_08:17
10559.json,2020-07-16 09:03:20.645247300,2020-07-16 09:03:20.805225970,DUR,Present,Travelling,6.0,2020-07-16 09:03:00,2020-07-16_08:58,2020-07-16_09:03
3677.json,2022-07-18 19:09:00.471300590,2022-07-18 19:09:01.202492278,DUR,Absent,Foraging,4.0,2022-07-18 19:09:00,2022-07-18_19:03,2022-07-18_19:09
1815.json,2022-07-17 17:32:55.317994391,2022-07-17 17:32:55.725575849,DUR,Absent,Foraging,5.0,2022-07-17 17:32:00,2022-07-17_17:21,2022-07-17_17:32
4165.json,2022-07-18 19:18:21.882625933,2022-07-18 19:18:22.192694869,DUR+AFT,Absent,Foraging,4.0,2022-07-18 19:18:00,2022-07-18_19:03,2022-07-18_19:18
4684.json,2022-07-18 16:47:21.920823221,2022-07-18 16:47:22.137953671,Control,Absent,Foraging,6.0,2022-07-18 16:47:00,2022-07-18_16:37,2022-07-18_16:47
3269.json,2022-07-18 18:55:11.698343209,2022-07-18 18:55:11.901780524,DUR,Absent,Foraging,5.0,2022-07-18 18:55:00,2022-07-18_18:23,2022-07-18_18:55
13262.json,2021-07-09 11:12:32.779629383,2021-07-09 11:12:33.243567524,Control,Present,,,2021-07-09 11:12:00,2021-07-09_11:09,2021-07-09_11:12
13011.json,2021-07-09 11:16:43.717105732,2021-07-09 11:16:44.323950007,Control,Present,,,2021-07-09 11:16:00,2021-07-09_11:09,2021-07-09_11:16
1541.json,2022-07-17 17:33:44.414869451,2022-07-17 17:33:44.772089555,DUR,Absent,Foraging,5.0,2022-07-17 17:33:00,2022-07-17_17:21,2022-07-17_17:33
2802.json,2020-07-18 08:07:16.759474404,2020-07-18 08:07:17.362895102,BEF+DUR,Present,Travelling,3.0,2020-07-18 08:07:00,2020-07-18_07:53,2020-07-18_08:07
10488.json,2020-07-16 08:27:12.950273297,2020-07-16 08:27:13.206239168,DUR,Absent,Foraging,40.0,2020-07-16 08:27:00,2020-07-16_08:23,2020-07-16_08:27
9169.json,2020-07-17 08:59:23.478050821,2020-07-17 08:59:24.058076857,DUR,Present,Travelling,4.0,2020-07-17 08:59:00,2020-07-17_08:57,2020-07-17_08:59
8947.json,2020-07-13 07:39:11.083472064,2020-07-13 07:39:13.046621320,Control,Present,Attraction,8.0,2020-07-13 07:39:00,2020-07-13_07:32,2020-07-13_07:39
9748.json,2020-07-17 09:03:13.183777279,2020-07-17 09:03:13.793414463,AFT,Present,Attraction,4.0,2020-07-17 09:03:00,2020-07-17_08:57,2020-07-17_09:03
1002.json,2020-07-11 08:58:26.948406879,2020-07-11 08:58:27.108385549,DUR,Absent,Socialising,8.0,2020-07-11 08:58:00,2020-07-11_08:36,2020-07-11_08:58
9626.json,2020-07-17 08:44:09.511368126,2020-07-17 08:44:10.942606030,DUR+AFT,Present,Travelling,20.0,2020-07-17 08:44:00,2020-07-17_08:37,2020-07-17_08:44
7181.json,2020-07-12 13:44:22.147211691,2020-07-12 13:44:23.788379461,DUR,Present,Attraction,8.0,2020-07-12 13:44:00,2020-07-12_13:42,2020-07-12_13:44
1124.json,2020-07-11 08:55:16.381815758,2020-07-11 08:55:17.117201577,DUR,Absent,Socialising,8.0,2020-07-11 08:55:00,2020-07-11_08:36,2020-07-11_08:55
6051.json,2020-07-12 13:45:19.518562168,2020-07-12 13:45:20.012381033,DUR,Present,Attraction,8.0,2020-07-12 13:45:00,2020-07-12_13:42,2020-07-12_13:45
12733.json,2020-07-16 09:59:57.108548011,2020-07-16 09:59:57.663468803,DUR,Present,Travelling,7.0,2020-07-16 09:59:00,2020-07-16_09:51,2020-07-16_09:59
5447.json,2020-07-12 14:26:15.945121137,2020-07-12 14:26:16.645780563,Control,Present,Travelling,5.0,2020-07-12 14:26:00,2020-07-12_14:25,2020-07-12_14:26
8033.json,2020-07-13 06:45:22.101053193,2020-07-13 06:45:22.325023330,Control,Present,Attraction,12.0,2020-07-13 06:45:00,2020-07-13_06:37,2020-07-13_06:45
9815.json,2020-07-16 10:11:20.018446345,2020-07-16 10:11:21.421662012,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
6462.json,2020-07-12 09:41:41.354486069,2020-07-12 09:41:41.698440208,Control,Present,Attraction,15.0,2020-07-12 09:41:00,2020-07-12_09:39,2020-07-12_09:41
6977.json,2020-07-12 09:40:03.447540328,2020-07-12 09:40:04.412243259,Control,Present,Attraction,15.0,2020-07-12 09:40:00,2020-07-12_09:39,2020-07-12_09:40
5280.json,2022-07-18 19:12:48.097177743,2022-07-18 19:12:49.192216900,DUR,Absent,Foraging,4.0,2022-07-18 19:12:00,2022-07-18_19:03,2022-07-18_19:12
9825.json,2020-07-16 10:11:02.143714171,2020-07-16 10:11:02.631649113,DUR,Present,Milling,8.0,2020-07-16 10:11:00,2020-07-16_10:06,2020-07-16_10:11
10651.json,2020-07-16 09:40:15.610987130,2020-07-16 09:40:15.713107146,Control,Present,Attraction,5.0,2020-07-16 09:40:00,2020-07-16_09:30,2020-07-16_09:40
10108.json,2020-07-16 09:02:04.007465671,2020-07-16 09:02:04.295427276,DUR,Present,Travelling,6.0,2020-07-16 09:02:00,2020-07-16_08:58,2020-07-16_09:02
7945.json,2020-07-13 06:43:46.504396599,2020-07-13 06:43:47.116078302,DUR+AFT,Present,Attraction,10.0,2020-07-13 06:43:00,2020-07-13_06:37,2020-07-13_06:43
7355.json,2020-07-12 11:52:37.163044927,2020-07-12 11:52:37.499000133,DUR,Present,Travelling,3.0,2020-07-12 11:52:00,2020-07-12_11:48,2020-07-12_11:52
4227.json,2022-07-18 18:40:03.599601402,2022-07-18 18:40:03.701002718,DUR,Absent,Attraction,5.0,2022-07-18 18:40:00,2022-07-18_18:23,2022-07-18_18:40
6664.json,2020-07-12 13:58:59.717803683,2020-07-12 13:58:59.913185071,Control,Present,Attraction,2.0,2020-07-12 13:58:00,2020-07-12_13:42,2020-07-12_13:58
4595.json,2022-07-18 19:41:30.641153113,2022-07-18 19:41:31.148351181,DUR,Absent,Travelling,6.0,2022-07-18 19:41:00,2022-07-18_19:28,2022-07-18_19:41
193.json,2020-07-11 11:44:06.999066791,2020-07-11 11:44:08.292159808,DUR,Present,Travelling,35.0,2020-07-11 11:44:00,2020-07-11_11:40,2020-07-11_11:44
