,start_dt,stop_dt,activation_state,fishing_net,behaviour,group_size,date,sequence,file,duration,category
11836.json,2020-07-16 09:32:12.057451873,2020-07-16 09:32:12.281036279,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.223584406,0
11838.json,2020-07-16 09:32:55.097974766,2020-07-16 09:32:55.533576662,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.435601896,0
1184.json,2020-07-11 11:51:40.175930573,2020-07-11 11:51:40.348704693,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51,0.17277412,0
11840.json,2020-07-16 09:32:20.374652301,2020-07-16 09:32:20.558420033,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.183767732,0
11841.json,2020-07-16 09:32:41.498466871,2020-07-16 09:32:41.626449807,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.127982936,0
11842.json,2020-07-16 09:32:24.109286866,2020-07-16 09:32:24.293054598,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.183767732,0
11843.json,2020-07-16 09:32:33.358735924,2020-07-16 09:32:33.501382358,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.142646434,0
11844.json,2020-07-16 09:32:41.490467938,2020-07-16 09:32:41.930409279,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.439941341,0
11845.json,2020-07-16 09:32:47.609652046,2020-07-16 09:32:48.001599787,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.391947741,0
11846.json,2020-07-16 09:32:19.014178280,2020-07-16 09:32:19.369857763,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.355679483,0
11847.json,2020-07-16 09:32:29.806446582,2020-07-16 09:32:30.033073312,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.22662673,0
11848.json,2020-07-16 09:32:30.934147666,2020-07-16 09:32:31.238255518,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.304107852,66
11849.json,2020-07-16 09:32:04.414117971,2020-07-16 09:32:04.554925293,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.140807322,0
11850.json,2020-07-16 09:32:03.599233049,2020-07-16 09:32:03.808946080,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.209713031,0
11851.json,2020-07-16 09:32:04.554925293,2020-07-16 09:32:04.725691618,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.170766325,0
11852.json,2020-07-16 09:32:33.795493934,2020-07-16 09:32:34.075456606,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.279962672,0
11853.json,2020-07-16 09:32:11.776538132,2020-07-16 09:32:12.708139824,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.931601692,0
11854.json,2020-07-16 09:32:57.744300760,2020-07-16 09:32:58.040261298,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.295960538,0
11856.json,2020-07-16 09:32:46.985735235,2020-07-16 09:32:47.281695774,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.295960539,0
11857.json,2020-07-16 09:32:58.232235702,2020-07-16 09:32:58.696173843,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.463938141,0
11858.json,2020-07-16 09:32:10.070990419,2020-07-16 09:32:10.615619101,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.544628682,0
11859.json,2020-07-16 09:32:47.097720304,2020-07-16 09:32:47.201706439,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.103986135,0
1186.json,2020-07-11 11:51:43.545077803,2020-07-11 11:51:43.709245851,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51,0.164168048,0
11860.json,2020-07-16 09:32:23.068924380,2020-07-16 09:32:23.964051077,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.895126697,0
11861.json,2020-07-16 09:32:07.005571862,2020-07-16 09:32:07.170346387,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.164774525,0
11862.json,2020-07-16 09:32:43.170243967,2020-07-16 09:32:43.602186375,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.431942408,0
11863.json,2020-07-16 09:32:09.411703068,2020-07-16 09:32:10.165583822,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.753880754,0
11864.json,2020-07-16 09:32:01.978450904,2020-07-16 09:32:02.544676090,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.566225186,0
11865.json,2020-07-16 09:32:57.416344487,2020-07-16 09:32:57.568324223,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.151979736,0
11866.json,2020-07-16 09:32:05.807211681,2020-07-16 09:32:06.454326179,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.647114498,0
11868.json,2020-07-16 09:32:44.973195668,2020-07-16 09:32:45.125250559,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.152054891,0
11869.json,2020-07-16 09:32:41.118591694,2020-07-16 09:32:41.474470071,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.355878377,0
11870.json,2020-07-16 09:32:55.772230892,2020-07-16 09:32:56.022470279,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.250239387,0
11871.json,2020-07-16 09:32:44.431500120,2020-07-16 09:32:44.733709215,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.302209095,0
11872.json,2020-07-16 09:32:29.346325645,2020-07-16 09:32:29.540331861,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.194006216,0
11873.json,2020-07-16 09:32:35.189798711,2020-07-16 09:32:35.522233884,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.332435173,0
11874.json,2020-07-16 09:32:09.403103668,2020-07-16 09:32:10.609886167,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,1.206782499,0
11875.json,2020-07-16 09:32:21.456510726,2020-07-16 09:32:21.569142562,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.112631836,0
11876.json,2020-07-16 09:32:19.823349103,2020-07-16 09:32:20.217560529,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.394211426,0
11877.json,2020-07-16 09:32:04.629822804,2020-07-16 09:32:04.752654722,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.122831918,0
11879.json,2020-07-16 09:32:11.183179516,2020-07-16 09:32:11.438295057,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.255115541,0
11880.json,2020-07-16 09:32:11.435428590,2020-07-16 09:32:11.839600401,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.404171811,0
11881.json,2020-07-16 09:32:13.943088930,2020-07-16 09:32:14.721413668,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.778324738,0
11884.json,2020-07-16 09:32:23.593551616,2020-07-16 09:32:23.931447125,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.337895509,0
11885.json,2020-07-16 09:32:55.144315393,2020-07-16 09:32:55.255532898,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.111217505,0
11886.json,2020-07-16 09:32:55.385286655,2020-07-16 09:32:55.964544495,Control,Present,Attraction,5.0,2020-07-16 09:32:00,2020-07-16_09:30,2020-07-16_09:32,0.57925784,0
11887.json,2020-07-16 08:59:42.285405243,2020-07-16 08:59:43.169293916,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.883888673,14
11888.json,2020-07-16 08:59:53.372223755,2020-07-16 08:59:53.867155641,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.494931886,0
11889.json,2020-07-16 08:59:19.003336965,2020-07-16 08:59:20.149971154,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,1.146634189,0
1189.json,2020-07-11 11:51:59.019477410,2020-07-11 11:51:59.412319832,DUR,Present,Foraging,8.0,2020-07-11 11:51:00,2020-07-11_11:40,2020-07-11_11:51,0.392842422,0
11890.json,2020-07-16 08:59:18.156959926,2020-07-16 08:59:18.668267392,DUR,Present,Milling,4.0,2020-07-16 08:59:00,2020-07-16_08:58,2020-07-16_08:59,0.511307466,0
